Algoritmo;;MLP;MLP;MLP;MLP;MLP;MLP
Medida;;Matriz de confusão;Sensibilidade;Especificidade;Confiabilidade positiva;Confiabilidade negativa;Acurácia
Base;Execução;;;;;;
Base de treino;0;[[16430 17632], [11829 26169]];0.6886941417969367;0.4823557043039164;0.5974521129654574;0.5814076931243144;0.5911601443241743
Base de treino;1;[[16797 17265], [12017 25981]];0.6837465129743671;0.4931301743878809;0.6007723257642326;0.5829457902408551;0.5936441854010547
Base de treino;2;[[17519 16543], [13004 24994]];0.6577714616558766;0.5143268158064705;0.6017285793389027;0.5739606198604331;0.5899666944213156
Base de treino;3;[[16665 17397], [12061 25937]];0.6825885572924891;0.48925488814514706;0.5985369455854526;0.5801364617419759;0.5912017762975298
Base de treino;4;[[17133 16929], [12458 25540]];0.672140638980999;0.5029945393693852;0.6013798299936424;0.5789936129228481;0.5921870663336108
Base de treino;5;[[17086 16976], [12482 25516]];0.6715090267908838;0.501614702601139;0.6004895039066177;0.5778544372294372;0.5912017762975298
Base de treino;6;[[17274 16788], [12769 25229]];0.6639559976840886;0.5071340496741237;0.6004474379417855;0.5749758679226442;0.5898279211767972
Base de treino;7;[[16592 17470], [11911 26087]];0.6865361334807095;0.4871117374199988;0.5989163624675712;0.5821141634213942;0.5922703302803219
Base de treino;8;[[15990 18072], [11472 26526]];0.6980893731249013;0.4694380834948036;0.594780034979147;0.5822591216954337;0.5900083263946712
Base de treino;9;[[17081 16981], [12386 25612]];0.6740354755513448;0.501467911455581;0.6013194656398939;0.5796653884005837;0.5924646128226478
Base de teste;0;[[6830  7768], [5072 11214]];0.688566867247943;0.4678723112755172;0.5907702033505426;0.573853133927071;0.5842507447221863
Base de teste;1;[[6859  7739], [5212 11074]];0.6799705268328626;0.46985888477873683;0.5886355179928773;0.5682213569712534;0.5806566506929154
Base de teste;2;[[7554  7044], [5717 10569]];0.6489622989070367;0.5174681463214139;0.600068131493783;0.5692110617135107;0.5868087035358114
Base de teste;3;[[7041  7557], [5293 10993]];0.6749969298784232;0.4823263460748048;0.5926145552560647;0.5708610345386735;0.583926952467297
Base de teste;4;[[7223  7375], [5532 10754]];0.6603217487412502;0.4947938073708727;0.5931932263224667;0.5662877303018424;0.5820813366144282
Base de teste;5;[[7238  7360], [5461 10825]];0.6646813213803267;0.4958213453897794;0.5952708276051691;0.5699661390660682;0.5848659500064759
Base de teste;6;[[7308  7290], [5526 10760]];0.6606901633304679;0.5006165228113441;0.5961218836565096;0.5694249649368864;0.5850278461339204
Base de teste;7;[[7001  7597], [5266 11020]];0.6766547955299029;0.47958624469105354;0.591932105065263;0.5707181870057879;0.583506022535941
Base de teste;8;[[6744  7854], [5035 11251]];0.6908387572147857;0.4619810933004521;0.588903428421879;0.5725443586042958;0.5826641626732288
Base de teste;9;[[7119  7479], [5379 10907]];0.6697163207663024;0.4876695437731196;0.5932231045360601;0.5696111377820451;0.5836679186633855
Base completa;0;[[31798 16862], [29648 24636]];0.4538353842752929;0.6534730785039047;0.5936671646826354;0.5174950362920288;0.5482009636307118
Base completa;1;[[32128 16532], [30130 24154]];0.4449561565102056;0.6602548294286888;0.5936685837880352;0.516046130617752;0.5467244327012745
Base completa;2;[[32638 16022], [30731 23553]];0.4338847542553975;0.6707357172215372;0.5951484523057485;0.5150467894396313;0.5458404569474666
Base completa;3;[[32222 16438], [30129 24155]];0.444974578144573;0.6621866009042334;0.5950533343187249;0.5167840130871999;0.5476472645321728
Base completa;4;[[32436 16224], [30458 23826]];0.43891386043769803;0.6665844636251541;0.5949063670411985;0.515724870416892;0.5465301523158222
Base completa;5;[[32856 15804], [31161 23123]];0.4259634514774151;0.6752157829839704;0.5940092994579598;0.5132386709780214;0.5437810848616723
Base completa;6;[[32704 15956], [30897 23387]];0.43082676295040895;0.6720920674064941;0.5944386549068449;0.514205751481895;0.5448690550202051
Base completa;7;[[32273 16387], [30405 23879]];0.4398902070591703;0.6632346896835183;0.5930313415785029;0.5149015603561058;0.5454616101958346
Base completa;8;[[31970 16690], [29891 24393]];0.44935892712401443;0.6570078092889436;0.5937492393447411;0.5168038020723881;0.5475112682623562
Base completa;9;[[32111 16549], [30008 24276]];0.4472035959030285;0.6599054665022606;0.5946356399265156;0.5169271881388947;0.5477444047248989
